"","likelihood","prob_same","spiro_fit","slp_fit","slp","spiro"
"47",-490.733449675957,3.06776030524093e-197,4.44590648619604,3.75255528389962,3.7774,4.4937
"48",-490.733449675957,3.06776030524093e-197,4.39438075553103,3.6805488584496,3.6863,4.4294
"49",-490.733449675957,3.06776030524093e-197,4.37238098228527,3.64428142653777,3.636,4.3801
"50",-490.733449675957,3.06776030524093e-197,4.38325057794717,3.64586246067517,3.6305,4.3558
"51",-490.733449675957,3.06776030524093e-197,4.43033295400511,3.68740143337285,3.6717,4.3804
"52",-490.733449675957,3.06776030524093e-197,4.5169715219475,3.77100781714187,3.7598,4.467
"53",-490.733449675957,3.06776030524093e-197,4.64650969326274,3.89879108449327,3.8931,4.6376
"54",-490.733449675957,3.06776030524093e-197,4.82005387712819,4.07234288084356,4.0688,4.8212
"55",-490.733449675957,3.06776030524093e-197,5.01077106212794,4.286504093772,4.2829,5.0108
"56",-490.733449675957,3.06776030524093e-197,5.1981920080424,4.53350526556094,4.5304,5.1993
"57",-490.733449675957,3.06776030524093e-197,5.38213462490376,4.80720709162423,4.8057,5.3858
"58",-490.733449675957,3.06776030524093e-197,5.56292099644751,5.10151245559768,5.1025,5.5693
"59",-490.733449675957,3.06776030524093e-197,5.74087320640909,5.41032424111712,5.4142,5.7498
"60",-490.733449675957,3.06776030524093e-197,5.916313338524,5.72754533181837,5.7342,5.9273
"61",-490.733449675957,3.06776030524093e-197,6.0895634765277,6.04707861133725,6.0555,6.0987
"62",-490.733449675957,3.06776030524093e-197,6.26094570415566,6.36282696330958,6.3716,6.2681
"63",-490.733449675957,3.06776030524093e-197,6.43078210514335,6.66869327137118,6.6759,6.4345
"64",-490.733449675957,3.06776030524093e-197,6.59939476322625,6.95858041915786,6.9624,6.6009
"65",-490.733449675957,3.06776030524093e-197,6.76710576213983,7.22639129030546,7.2253,6.7642
"66",-490.733449675957,3.06776030524093e-197,6.93423718561955,7.46602876844978,7.4597,6.9296
"67",-490.733449675957,3.06776030524093e-197,7.10111111740089,7.67139573722666,7.6609,7.0949
"68",-490.733449675957,3.06776030524093e-197,7.2680496385574,7.83639508144071,7.8252,7.2612
"69",-490.733449675957,3.06776030524093e-197,7.43233063313526,7.95626634583151,7.9495,7.4174
"70",-490.733449675957,3.06776030524093e-197,7.57940279534964,8.03144308983867,8.0316,7.5637
"71",-490.733449675957,3.06776030524093e-197,7.6918419548033,8.06362030341742,8.0701,7.6919
"72",-490.733449675957,3.06776030524093e-197,7.75222394109901,8.054492976523,8.0644,7.7871
"73",-490.733449675957,3.06776030524093e-197,7.74312458383954,8.00575609911063,8.0147,7.7853
"74",-490.733449675957,3.06776030524093e-197,7.64712368043287,7.91910432292692,7.9222,7.6265
"75",-490.733449675957,3.06776030524093e-197,7.46373601192809,7.79478879190267,7.7887,7.4296
"76",-490.733449675957,3.06776030524093e-197,7.24708181042278,7.62852121541238,7.6171,7.2288
"77",-490.733449675957,3.06776030524093e-197,7.03268468823562,7.42083171287336,7.4107,7.0289
"78",-490.733449675957,3.06776030524093e-197,6.82266345875415,7.17869555454123,7.1739,6.8319
"79",-490.733449675957,3.06776030524093e-197,6.61738952016628,6.90942515847371,6.9113,6.633
"80",-490.733449675957,3.06776030524093e-197,6.41723427065992,6.62033294272851,6.6284,6.4351
"81",-490.733449675957,3.06776030524093e-197,6.22256910842297,6.31873132536333,6.3311,6.2381
"82",-490.733449675957,3.06776030524093e-197,6.03376543164335,6.0119327244359,6.0255,6.0411
"83",-490.733449675957,3.06776030524093e-197,5.85119463850896,5.70724955800391,5.7182,5.8461
"84",-490.733449675957,3.06776030524093e-197,5.67523643708593,5.41196782253084,5.4156,5.659
